country,governorate,locationtypeend,demandtypeone,tacticprimary,violence,combined_sizes
Iraq,Babylon,Cannot be determined,Human rights / civic freedoms,Demonstration / protest,None,1678.8664992466097
Iraq,Erbil,Cannot be determined,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Wassit,Midan,Politics (national),March,None,1678.8664992466097
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,Qadissiya,Midan,Politics (national),March,None,301.0
Iraq,Kerbala,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Wassit,Police station,Human rights / civic freedoms,Demonstration / protest,Riot,1678.8664992466097
Iraq,Najaf,Midan,Politics (national),March,None,10000.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Muthanna,Midan,Politics (national),March,None,3001.0
Iraq,Kirkuk,Government building,Labor,Demonstration / protest,None,31.0
Iraq,Kerbala,Cannot be determined,Human rights / civic freedoms,Demonstration / protest,Riot,1678.8664992466097
Iraq,Basrah,Midan,Politics (national),March,None,301.0
Iraq,ThiQar,Midan,Politics (national),Demonstration / protest,None,3001.0
Iraq,Qadissiya,Cannot be determined,Politics (national),Demonstration / protest,None,31.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Riot,1678.8664992466097
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,Missan,Government building,Politics (national),Demonstration / protest,None,301.0
Iraq,Qadissiya,Midan,Politics (national),March,None,301.0
Iraq,Wassit,Main road,Politics (national),Demonstration / protest,Riot,1678.8664992466097
Iraq,Wassit,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Wassit,Government building,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,Wassit,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,Company offices,Politics (national),Occupation / sit-in,None,31.0
Iraq,Qadissiya,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Najaf,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Erbil,Cannot be determined,Environmental,Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Erbil,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Cannot be determined,Human rights / civic freedoms,Demonstration / protest,None,301.0
Iraq,Wassit,Cannot be determined,Human rights / civic freedoms,Demonstration / protest,None,1678.8664992466097
Iraq,Erbil,Cannot be determined,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Armed combat,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Riot,1678.8664992466097
Iraq,Kerbala,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Qadissiya,Government building,Labor,Demonstration / protest,None,31.0
Iraq,ThiQar,Midan,Human rights / civic freedoms,Demonstration / protest,None,301.0
Iraq,Wassit,Cannot be determined,Human rights / civic freedoms,Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Syndicate/union,Social,Occupation / sit-in,None,301.0
Iraq,Qadissiya,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,Kirkuk,Cannot be determined,Environmental,Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,Basrah,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Muthanna,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,ThiQar,Cannot be determined,Human rights / civic freedoms,Demonstration / protest,None,301.0
Iraq,Sulaymaniyah,Cannot be determined,Social,Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Riot,301.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Brawl or gang violence,301.0
Iraq,Kerbala,Main road,Politics (national),Demonstration / protest,Brawl or gang violence,1678.8664992466097
Iraq,Missan,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Babylon,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,Cannot be determined,Politics (international),Demonstration / protest,None,301.0
Iraq,Wassit,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Cannot be determined,Politics (national),Demonstration / protest,None,3001.0
Iraq,Najaf,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Muthanna,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Cannot be determined,Politics (national),Demonstration / protest,None,301.0
Iraq,Basrah,Midan,Politics (national),Demonstration / protest,None,3001.0
Iraq,Wassit,Government building,Politics (national),March,None,1678.8664992466097
Iraq,Kerbala,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Najaf,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Main road,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Human rights / civic freedoms,Demonstration / protest,None,3001.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Riot,1678.8664992466097
Iraq,ThiQar,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Qadissiya,Midan,Politics (national),Demonstration / protest,None,3001.0
Iraq,Muthanna,Cannot be determined,Politics (national),March,None,1678.8664992466097
Iraq,Muthanna,Cannot be determined,Politics (national),March,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Najaf,Main road,Politics (national),Roadblock or blockade,None,31.0
Iraq,Muthanna,Cannot be determined,Social,Demonstration / protest,None,31.0
Iraq,Basrah,Midan,Politics (national),Demonstration / protest,Riot,1678.8664992466097
Iraq,ThiQar,Midan,Politics (national),March,None,301.0
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,None,3001.0
Iraq,Qadissiya,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,Muthanna,Midan,Politics (national),March,None,1678.8664992466097
Iraq,Najaf,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,Najaf,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,Najaf,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,Najaf,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,Najaf,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,Babylon,Cannot be determined,Politics (national),March,None,301.0
Iraq,Kerbala,Midan,Politics (national),March,None,301.0
Iraq,Missan,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Wassit,Cannot be determined,Politics (national),Demonstration / protest,None,3001.0
Iraq,Wassit,Court,Human rights / civic freedoms,Demonstration / protest,None,301.0
Iraq,Erbil,Government building,Labor,Demonstration / protest,None,31.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,3001.0
Iraq,Qadissiya,Midan,Politics (national),Demonstration / protest,None,3001.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,3001.0
Iraq,Babylon,Midan,Politics (national),Demonstration / protest,Riot,1678.8664992466097
Iraq,Najaf,Midan,Politics (national),Demonstration / protest,Riot,1678.8664992466097
Iraq,Basrah,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Main road,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Cannot be determined,Politics (national),March,None,301.0
Iraq,Qadissiya,Cannot be determined,Politics (national),March,None,1678.8664992466097
Iraq,Wassit,Main road,Politics (national),March,None,301.0
Iraq,Qadissiya,Factory or industrial site,Labor,Demonstration / protest,None,31.0
Iraq,Kerbala,Midan,Politics (national),Demonstration / protest,Riot,1678.8664992466097
Iraq,Muthanna,Government building,Labor,Occupation / sit-in,None,31.0
Iraq,Sulaymaniyah,Main road,Social,Roadblock or blockade,None,1678.8664992466097
Iraq,Erbil,Cannot be determined,Social,Demonstration / protest,None,1678.8664992466097
Iraq,Sulaymaniyah,Syndicate/union,Social,Demonstration / protest,Riot,31.0
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,ThiQar,Midan,Politics (national),Demonstration / protest,None,3001.0
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,Babylon,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Midan,Politics (national),March,None,301.0
Iraq,Wassit,Government building,Politics (national),Demonstration / protest,None,301.0
Iraq,Muthanna,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Najaf,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,Najaf,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,Missan,Government building,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Cannot be determined,Politics (national),Demonstration / protest,None,3001.0
Iraq,Baghdad,Midan,Politics (national),March,None,301.0
Iraq,Muthanna,Government building,Social,Demonstration / protest,None,5.0
Iraq,ThiQar,Cannot be determined,Politics (national),Demonstration / protest,None,301.0
Iraq,Baghdad,Midan,Human rights / civic freedoms,Demonstration / protest,None,31.0
Iraq,ThiQar,Cannot be determined,Human rights / civic freedoms,Demonstration / protest,None,301.0
Iraq,Muthanna,Factory or industrial site,Labor,Occupation / sit-in,None,1678.8664992466097
Iraq,Basrah,Company offices,Labor,Demonstration / protest,None,5.0
Iraq,Kirkuk,Cannot be determined,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Government building,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,Babylon,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Midan,Politics (national),March,None,301.0
Iraq,Najaf,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Kerbala,Cannot be determined,Politics (national),Demonstration / protest,None,301.0
Iraq,ThiQar,School,Human rights / civic freedoms,Roadblock or blockade,None,1678.8664992466097
Iraq,Missan,Government building,Human rights / civic freedoms,Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Factory or industrial site,Labor,Demonstration / protest,None,31.0
Iraq,Wassit,Government building,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),March,None,3001.0
Iraq,Basrah,Cannot be determined,Human rights / civic freedoms,Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Midan,Human rights / civic freedoms,Demonstration / protest,None,301.0
Iraq,Najaf,Midan,Human rights / civic freedoms,Demonstration / protest,None,1678.8664992466097
Iraq,Kerbala,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,Main road,Politics (national),Roadblock or blockade,None,31.0
Iraq,Basrah,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,ThiQar,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Muthanna,University,Politics (national),Occupation / sit-in,None,1678.8664992466097
Iraq,Wassit,Cannot be determined,Politics (national),March,None,301.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Riot,301.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Cannot be determined,Politics (national),Demonstration / protest,None,301.0
Iraq,Najaf,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Mosque,Politics (national),March,None,1678.8664992466097
Iraq,Qadissiya,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Cannot be determined,Politics (national),Demonstration / protest,None,301.0
Iraq,Babylon,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Najaf,Midan,Human rights / civic freedoms,Demonstration / protest,None,3001.0
Iraq,Qadissiya,Factory or industrial site,Labor,Demonstration / protest,None,31.0
Iraq,Basrah,Midan,Politics (national),March,None,1678.8664992466097
Iraq,Wassit,Cannot be determined,Politics (national),Demonstration / protest,None,301.0
Iraq,ThiQar,Midan,Politics (national),Demonstration / protest,None,3001.0
Iraq,Kerbala,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Missan,Government building,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Babylon,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),March,None,3001.0
Iraq,ThiQar,Midan,Politics (national),March,None,3001.0
Iraq,Wassit,Government building,Politics (national),Demonstration / protest,None,301.0
Iraq,Kerbala,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Sulaymaniyah,NGO office,Human rights / civic freedoms,Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,Midan,Politics (national),March,None,3001.0
Iraq,ThiQar,Party building,Politics (national),Mass attack or mob,Riot,1678.8664992466097
Iraq,Najaf,Midan,Human rights / civic freedoms,March,None,3001.0
Iraq,Qadissiya,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Muthanna,University,Politics (national),Demonstration / protest,None,301.0
Iraq,Qadissiya,Government building,Labor,Demonstration / protest,None,31.0
Iraq,Sulaymaniyah,Main road,Social,Roadblock or blockade,None,31.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Government building,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Government building,Politics (local),Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,ThiQar,Cannot be determined,Human rights / civic freedoms,Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Basrah,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,University,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,ThiQar,University,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Muthanna,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Wassit,Government building,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Babylon,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Wassit,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Najaf,Midan,Politics (national),March,None,301.0
Iraq,Muthanna,Government building,Social,Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Court,Human rights / civic freedoms,Demonstration / protest,None,31.0
Iraq,Basrah,Mosque,Politics (national),March,None,301.0
Iraq,ThiQar,Midan,Politics (national),March,None,301.0
Iraq,Qadissiya,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Najaf,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Muthanna,Government building,Social,Roadblock or blockade,None,1678.8664992466097
Iraq,Muthanna,Factory or industrial site,Social,Roadblock or blockade,None,1678.8664992466097
Iraq,Babylon,Other,Politics (local),Demonstration / protest,Riot,1678.8664992466097
Iraq,Babylon,Midan,Politics (national),March,None,1678.8664992466097
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,None,301.0
Iraq,ThiQar,Main road,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Missan,Government building,Politics (national),Demonstration / protest,None,301.0
Iraq,Kerbala,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Najaf,Main road,Human rights / civic freedoms,March,None,1678.8664992466097
Iraq,Basrah,Midan,Human rights / civic freedoms,Demonstration / protest,None,1678.8664992466097
Iraq,Muthanna,Government building,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Occupation / sit-in,None,1678.8664992466097
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,Riot,1678.8664992466097
Iraq,Baghdad,Main road,Politics (national),Roadblock or blockade,None,301.0
Iraq,ThiQar,Court,Human rights / civic freedoms,Demonstration / protest,None,31.0
Iraq,Qadissiya,Government building,Labor,Demonstration / protest,None,31.0
Iraq,Baghdad,Midan,Women's rights,Demonstration / protest,None,301.0
Iraq,ThiQar,Midan,Women's rights,Demonstration / protest,None,301.0
Iraq,Najaf,Cannot be determined,Women's rights,Demonstration / protest,None,1678.8664992466097
Iraq,Kerbala,Cannot be determined,Women's rights,Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,Cannot be determined,Women's rights,Demonstration / protest,None,301.0
Iraq,Wassit,Cannot be determined,Women's rights,March,None,1678.8664992466097
Iraq,Babylon,Cannot be determined,Women's rights,March,None,1678.8664992466097
Iraq,Missan,Main road,Politics (local),Roadblock or blockade,None,1678.8664992466097
Iraq,Muthanna,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Wassit,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,Kirkuk,Cannot be determined,Religious,March,None,31.0
Iraq,Erbil,Cannot be determined,Social,Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Cannot be determined,Politics (national),Demonstration / protest,None,301.0
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,Riot,301.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Babylon,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Kerbala,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Najaf,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Cannot be determined,Politics (national),Demonstration / protest,None,301.0
Iraq,Muthanna,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Cannot be determined,Politics (national),Demonstration / protest,None,301.0
Iraq,Missan,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Wassit,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Riot,1678.8664992466097
Iraq,Erbil,Cannot be determined,Religious,March,None,301.0
Iraq,Basrah,Company offices,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Sulaymaniyah,Cannot be determined,Religious,March,None,301.0
Iraq,ThiQar,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Midan,Politics (national),Demonstration / protest,None,3001.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Riot,301.0
Iraq,Babylon,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Erbil,Cannot be determined,Religious,Demonstration / protest,None,1678.8664992466097
Iraq,Erbil,Main road,Religious,Demonstration / protest,None,3001.0
Iraq,Najaf,Midan,Human rights / civic freedoms,Demonstration / protest,None,301.0
Iraq,Qadissiya,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Basrah,Midan,Politics (national),March,None,1678.8664992466097
Iraq,Basrah,Company offices,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Missan,Government building,Social,Demonstration / protest,None,301.0
Iraq,Muthanna,Main road,Social,Roadblock or blockade,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),March,None,3001.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Najaf,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Babylon,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Wassit,Government building,Politics (national),March,None,301.0
Iraq,Ninewa,Cannot be determined,Human rights / civic freedoms,Demonstration / protest,None,31.0
Iraq,Kerbala,Main road,Human rights / civic freedoms,March,None,301.0
Iraq,Muthanna,Government building,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Main road,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,ThiQar,Midan,Politics (national),Occupation / sit-in,None,1678.8664992466097
Iraq,Missan,Government building,Politics (national),Occupation / sit-in,None,1678.8664992466097
Iraq,Qadissiya,University,Politics (national),Demonstration / protest,None,301.0
Iraq,Qadissiya,Other,Labor,Demonstration / protest,None,31.0
Iraq,Muthanna,Cannot be determined,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Wassit,Government building,Social,Demonstration / protest,None,31.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Riot,1678.8664992466097
Iraq,ThiQar,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Missan,Government building,Politics (national),Demonstration / protest,None,301.0
Iraq,Qadissiya,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Najaf,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Babylon,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Ninewa,Cannot be determined,Human rights / civic freedoms,Demonstration / protest,None,31.0
Iraq,Muthanna,University,Human rights / civic freedoms,Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,Company offices,Labor,Demonstration / protest,None,31.0
Iraq,ThiQar,Cannot be determined,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,University,Social,Demonstration / protest,None,301.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Missan,Government building,Politics (national),Demonstration / protest,None,301.0
Iraq,Najaf,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Babylon,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Basrah,Infrastructure,Labor,Roadblock or blockade,None,31.0
Iraq,ThiQar,Company offices,Labor,Demonstration / protest,None,31.0
Iraq,Muthanna,Cannot be determined,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Wassit,Government building,Corruption,Roadblock or blockade,None,1678.8664992466097
Iraq,Najaf,Midan,Politics (national),March,None,1678.8664992466097
Iraq,Qadissiya,Government building,Politics (local),Demonstration / protest,None,1678.8664992466097
Iraq,Missan,Government building,Politics (national),Demonstration / protest,None,301.0
Iraq,Basrah,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Kerbala,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Midan,Human rights / civic freedoms,Funeral march / funeral,None,301.0
Iraq,Muthanna,Cannot be determined,Social,Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Midan,Politics (national),March,None,1678.8664992466097
Iraq,ThiQar,Main road,Politics (national),March,None,301.0
Iraq,ThiQar,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Cannot be determined,Politics (national),Demonstration / protest,None,31.0
Iraq,Muthanna,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Najaf,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Kirkuk,Main road,Social,Roadblock or blockade,None,31.0
Iraq,Basrah,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Muthanna,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Midan,Politics (national),Demonstration / protest,None,3001.0
Iraq,Kerbala,Midan,Politics (national),March,None,1678.8664992466097
Iraq,Basrah,Hospital,Social,Demonstration / protest,None,1678.8664992466097
Iraq,Sulaymaniyah,Midan,Politics (local),Demonstration / protest,None,301.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Riot,1678.8664992466097
Iraq,ThiQar,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Wassit,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Cannot be determined,Politics (national),Demonstration / protest,None,31.0
Iraq,Muthanna,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Main road,Human rights / civic freedoms,Roadblock or blockade,None,301.0
Iraq,Kirkuk,Cannot be determined,Human rights / civic freedoms,Demonstration / protest,None,31.0
Iraq,Muthanna,Government building,Labor,March,None,1678.8664992466097
Iraq,Diyala,Government building,Labor,Demonstration / protest,None,31.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,University,Politics (national),March,None,1678.8664992466097
Iraq,Qadissiya,Main road,Politics (national),March,None,1678.8664992466097
Iraq,Wassit,Government building,Politics (national),March,None,301.0
Iraq,Wassit,Cannot be determined,Politics (national),Demonstration / protest,None,301.0
Iraq,ThiQar,Midan,Labor,Demonstration / protest,None,31.0
Iraq,ThiQar,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Babylon,Cannot be determined,Politics (national),March,None,1678.8664992466097
Iraq,Basrah,Factory or industrial site,Labor,Roadblock or blockade,None,31.0
Iraq,Muthanna,Company offices,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Cannot be determined,Labor,Demonstration / protest,None,31.0
Iraq,Qadissiya,Cannot be determined,Politics (national),Demonstration / protest,None,31.0
Iraq,ThiQar,Cannot be determined,Social,Demonstration / protest,None,1678.8664992466097
Iraq,Najaf,Infrastructure,Social,Roadblock or blockade,None,5.0
Iraq,ThiQar,Company offices,Labor,Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,University,Labor,Occupation / sit-in,None,1678.8664992466097
Iraq,Wassit,Cannot be determined,Politics (local),Roadblock or blockade,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Riot,1678.8664992466097
Iraq,Muthanna,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Najaf,Midan,Politics (national),Demonstration / protest,None,3001.0
